Zone,Coordinates,Radius
Karnataka_12,"12.503820,75.793817",37373.25 Meters
Karnataka_13,"12.128083,76.253169",25393.81 Meters
Karnataka_14,"18.127535,77.385335",25995.91 Meters
Andhra_1,"17.908079,83.647873",99559.70 Meters
Andhra_2,"16.536199,82.121075",118211.27 Meters
Andhra_3,"15.976706,80.187584",94651.71 Meters
Andhra_4,"14.789550,78.319210",137111.25 Meters
Andhra_5,"14.404914,80.291248",79027.18 Meters
Andhra_6,"13.455812,79.296692",43307.57 Meters
TN_1,"12.844569,80.004366",51599.65 Meters
TN_2,"12.362264,78.993731",69471.81 Meters
TN_3,"12.539137,78.026768",35422.30 Meters
TN_4,"11.558210,78.057232",62986.73 Meters
TN_5,"11.043859,79.235110",74992.99 Meters
TN_6,"11.205477,77.056745",52186.21 Meters
TN_7,"10.393357,77.859221",66615.73 Meters
TN_8,"9.912168,78.875144",55766.17 Meters
TN_9,"8.415643,77.721919",55763.63 Meters
TN_10,"9.348943,77.886393",47919.02 Meters
Kerala_1,"11.800388,75.318384",47926.15 Meters
Kerala_2,"11.187220,75.979603",47926.15 Meters
Kerala_3,"10.237211,76.287142",59962.60 Meters
Kerala_4,"9.235717,76.704725",59964.01 Meters
Kerala_5,"8.350867,76.858576",38185.38 Meters
Kerala_6,"9.999399,77.034311",24938.73 Meters
Uttarakhand_1,"30.109234,78.290828",57095.39 Meters
Uttarakhand_2,"29.554295,79.589574",66566.25 Meters
Sikkim,"27.626685,88.496529",43798.58 Meters
Assam_1,"26.440294,91.674212",41662.58 Meters
Assam_2,"26.390933,92.674391",55841.45 Meters
Assam_3,"26.203964,93.629865",40487.73 Meters
Assam_4,"26.793814,94.124356",40490.99 Meters
Assam_5,"27.268362,94.756070",40490.99 Meters
Assam_6,"27.633964,95.475674",40490.99 Meters
Assam_7,"24.705650,92.609896",35993.84 Meters
Arunachal_1,"27.425491,92.586259",49178.37 Meters
Arunachal_2,"27.309191,93.477062",38261.11 Meters
Arunachal_3,"28.193258,94.058736",71650.63 Meters
Meghalaya,"25.570104,91.697252",47036.67 Meters
Mizoram,"23.583188,92.868681",55054.82 Meters
Tripura,"23.696449,91.534107",35471.53 Meters
Manipur,"24.677029,93.829528",63943.80 Meters
Nagaland,"25.748659,94.172523",33052.69 Meters
Kashmir,"33.577468,75.476605",120434.41 Meters
Goa,"15.282461,73.911213",40108.04 Meters
Chandigarh,"30.729513,76.772621",14782.46 Meters
